stage,target,feature,ref,auc,lo,hi,n_pos,n_neg
REM,abnormal,DAR,R_routine,0.7224698395584943,0.7072914544096748,0.7378309604325325,4253,1230
REM,abnormal,DAR,O_overnight,0.6907883292329279,0.675363933612582,0.7053913868568671,4253,1230
REM,abnormal,DAR,U_union,0.690682043665017,0.6723263831316442,0.707350808096885,4253,1230
REM,abnormal,log_delta,R_routine,0.7494998269992104,0.7358734897968995,0.7653217970058569,4253,1230
REM,abnormal,log_delta,O_overnight,0.6998805243166469,0.6829325330631997,0.7156500914146803,4253,1230
REM,abnormal,log_delta,U_union,0.7045062404538929,0.6886602121026459,0.71941708677949,4253,1230
REM,abnormal,log_theta,R_routine,0.7402009867735639,0.7279839629604777,0.7548469846414961,4253,1230
REM,abnormal,log_theta,O_overnight,0.6833819838315948,0.6669561990318379,0.6992892408803568,4253,1230
REM,abnormal,log_theta,U_union,0.6900420363244311,0.6726569323298174,0.7065556550940355,4253,1230
REM,abnormal,rel_delta,R_routine,0.7076120347377939,0.6913039592825414,0.7215545834868269,4253,1230
REM,abnormal,rel_delta,O_overnight,0.6841303795121185,0.6679713494555799,0.6992909927641031,4253,1230
REM,abnormal,rel_delta,U_union,0.6831550756137705,0.668564456120074,0.6989880264251783,4253,1230
REM,gen_pathologic,TAR,R_routine,0.8253501675177535,0.8109058201042441,0.8390118706681386,2861,1230
REM,gen_pathologic,TAR,O_overnight,0.7544263618099305,0.7399645034552302,0.7691492245098807,2861,1230
REM,gen_pathologic,TAR,U_union,0.7560793741457162,0.7401591393726147,0.7711230935601557,2861,1230
REM,gen_pathologic,DAR,R_routine,0.8251214112979999,0.81039013423347,0.8386554861903901,2861,1230
REM,gen_pathologic,DAR,O_overnight,0.7788265516349675,0.762878096424272,0.7942888209474234,2861,1230
REM,gen_pathologic,DAR,U_union,0.7789495969059655,0.7639721116224041,0.7957461883640108,2861,1230
REM,gen_pathologic,log_delta,R_routine,0.8240228131047476,0.8096003207242649,0.837835698615784,2861,1230
REM,gen_pathologic,log_delta,O_overnight,0.75233800223357,0.7374408846845489,0.769122507427386,2861,1230
REM,gen_pathologic,log_delta,U_union,0.7590935570313411,0.7409533359377602,0.7754938418744263,2861,1230
REM,gen_pathologic,log_theta,R_routine,0.797603600992319,0.7847423754837681,0.8116896496013886,2861,1230
REM,gen_pathologic,log_theta,O_overnight,0.7162809069544733,0.6986870621085062,0.731892977757858,2861,1230
REM,gen_pathologic,log_theta,U_union,0.7255073130948018,0.7096618409725516,0.7410484222032576,2861,1230
REM,gen_pathologic,rel_delta,R_routine,0.7852950955234823,0.7707198966087935,0.798817131458526,2861,1230
REM,gen_pathologic,rel_delta,O_overnight,0.7519430070218214,0.7353365578827553,0.7677287081042266,2861,1230
REM,gen_pathologic,rel_delta,U_union,0.7506619721912005,0.7353109498106235,0.7666054351288566,2861,1230
REM,focal,TAR,R_routine,0.7241310643954945,0.7078219175489185,0.7421599937375272,2911,1230
REM,focal,TAR,O_overnight,0.6640919081811911,0.648446080362524,0.6820004348849223,2911,1230
REM,focal,TAR,U_union,0.6657014464339078,0.649479556499153,0.6840820992222473,2911,1230
REM,focal,DAR,R_routine,0.7180844735276621,0.7010613343220573,0.7337436440855091,2911,1230
REM,focal,DAR,O_overnight,0.6767165754790492,0.6608559336296473,0.6940955289882438,2911,1230
REM,focal,DAR,U_union,0.67728660282137,0.6588700255279183,0.696228702765237,2911,1230
REM,focal,log_delta,R_routine,0.7562120691629453,0.7402587980053724,0.7701044428438109,2911,1230
REM,focal,log_delta,O_overnight,0.6917540140705426,0.6755742878446924,0.7094159619352436,2911,1230
REM,focal,log_delta,U_union,0.6977556395282263,0.6792826985910895,0.7144097521040643,2911,1230
REM,focal,log_theta,R_routine,0.7472860163160202,0.7313128727923205,0.7629495397007748,2911,1230
REM,focal,log_theta,O_overnight,0.6750606753748747,0.6579654610930239,0.6934747641393043,2911,1230
REM,focal,log_theta,U_union,0.6833999435837711,0.664233158896052,0.7006493056360872,2911,1230
REM,focal,rel_delta,R_routine,0.710215806039888,0.6941617762856076,0.7254841906801907,2911,1230
REM,focal,rel_delta,O_overnight,0.6795697843615331,0.6625807331049417,0.694827589076229,2911,1230
REM,focal,rel_delta,U_union,0.6790181900444906,0.6613802252467225,0.6968887537144894,2911,1230
